2016-10-21 13:59:52,750,PCDisarmConnect,INFO,Searching DisarmDB
2016-10-21 13:59:52,790,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,795,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,800,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,805,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,813,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,820,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,827,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,834,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,842,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,848,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,855,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,861,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,868,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,875,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,881,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,888,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,895,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,902,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,909,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,917,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,925,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,932,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,939,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,946,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,954,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,961,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,969,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,975,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,981,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,988,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:52,995,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,002,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,008,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,014,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,021,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,028,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,035,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,042,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,050,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,057,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,065,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,071,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,079,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,087,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,095,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,103,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,111,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,118,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,126,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,132,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,139,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,148,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,155,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,161,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,168,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,175,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,183,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,189,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,195,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,202,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,209,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,216,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,223,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,230,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,238,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,245,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
