2016-10-21 14:09:41,592,PCDisarmConnect,INFO,Searching DisarmDB
2016-10-21 14:09:41,595,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,599,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,603,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,608,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,613,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,618,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,624,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,630,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,636,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,641,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,647,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,652,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,658,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,663,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,668,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,673,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,678,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,682,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,686,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,690,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,695,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,699,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,703,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,707,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,712,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,716,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,721,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,726,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,731,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,736,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,740,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,746,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,751,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,756,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
