2016-10-21 14:14:48,283,PCDisarmConnect,INFO,Searching DisarmDB
2016-10-21 14:14:48,286,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,290,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,295,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,299,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,303,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,307,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,312,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,319,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,323,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,327,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,331,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,336,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,340,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,344,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,350,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,356,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,363,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,368,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,373,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,379,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,384,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,389,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,394,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,398,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,403,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,408,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
