2016-10-21 14:22:06,198,PCDisarmConnect,INFO,Searching DisarmDB
2016-10-21 14:22:06,201,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,204,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,211,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,217,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,221,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,224,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,228,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,232,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,236,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,240,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,244,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,250,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
