2016-10-21 14:58:07,602,PCDisarmConnect,INFO,Searching DisarmDB
2016-10-21 14:58:09,097,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -88, '1stFloorLinksys': -75, 'LEDE': -50, 'hotspot': -70}
2016-10-21 14:58:12,367,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -85, 'disarmNet': -91, 'hotspot': -77, 'DCA': -81, 'dlink': -84, 'LEDE': -52, 'SD-TD': -86}
2016-10-21 14:58:13,941,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -91, 'hotspot': -77, 'DCA': -82, 'dlink': -84, 'LEDE': -53, 'SD-TD': -82}
2016-10-21 14:58:15,529,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -68, 'disarmNet': -91, 'hotspot': -78, 'DCA': -81, 'dlink': -84, 'LEDE': -53, 'SD-TD': -87}
2016-10-21 14:58:17,112,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -79, 'disarmNet': -91, 'hotspot': -74, 'DCA': -81, 'dlink': -84, 'LEDE': -55, 'SD-TD': -82}
2016-10-21 14:58:18,692,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -83, 'disarmNet': -91, 'hotspot': -75, 'DCA': -81, 'dlink': -84, 'LEDE': -52, 'SD-TD': -81}
2016-10-21 14:58:20,279,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -81, 'disarmNet': -91, 'hotspot': -77, 'DCA': -81, 'dlink': -84, 'LEDE': -55, 'SD-TD': -81}
2016-10-21 14:58:21,864,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -81, 'disarmNet': -92, 'hotspot': -77, 'DCA': -81, 'dlink': -84, 'LEDE': -60, 'SD-TD': -81}
2016-10-21 14:58:23,443,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -79, 'disarmNet': -92, 'hotspot': -77, 'DCA': -83, 'dlink': -84, 'LEDE': -58, 'SD-TD': -80}
2016-10-21 14:58:25,025,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -81, 'disarmNet': -89, 'hotspot': -76, 'DCA': -73, 'dlink': -86, 'LEDE': -49, 'SD-TD': -80}
2016-10-21 14:58:26,605,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -81, 'disarmNet': -89, 'hotspot': -75, 'DCA': -73, 'dlink': -86, 'LEDE': -54, 'SD-TD': -73}
2016-10-21 14:58:28,183,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -89, 'hotspot': -76, 'DCA': -71, 'dlink': -86, 'LEDE': -57, 'SD-TD': -81}
2016-10-21 14:59:08,295,PCDisarmConnect,INFO,Searching DisarmDevice
2016-10-21 14:59:14,503,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -88, 'hotspot': -66, 'DCA': -79, 'dlink': -90, 'LEDE': -62, 'SD-TD': -79}
2016-10-21 14:59:16,132,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -88, 'hotspot': -78, 'DCA': -81, 'dlink': -90, 'LEDE': -52, 'SD-TD': -82}
2016-10-21 14:59:17,708,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -89, 'hotspot': -80, 'DCA': -81, 'dlink': -90, 'LEDE': -75, 'SD-TD': -80}
2016-10-21 14:59:19,288,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -89, 'hotspot': -75, 'DCA': -79, 'dlink': -90, 'LEDE': -65, 'SD-TD': -82}
2016-10-21 14:59:20,868,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -88, 'disarmNet': -89, 'hotspot': -66, 'DCA': -79, 'dlink': -90, 'LEDE': -69, 'SD-TD': -68}
2016-10-21 14:59:22,445,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -86, 'disarmNet': -89, 'hotspot': -66, 'DCA': -79, 'dlink': -91, 'LEDE': -68, 'SD-TD': -68}
